epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,89.1245,0.17613,0.97749,1,0.05772,0.000553361,0.000553361,0.000553361
2,183.676,0.12106,0.98226,1,0.07164,0.000999234,0.000999234,0.000999234
3,281.789,0.11694,0.98431,1,0.04911,0.00133508,0.00133508,0.00133508
